pathway,pathwayName
reactome:Pathway1351,Defective TBXAS1 causes GHDD
reactome:Pathway490,TRAF6-mediated induction of TAK1 complex within TLR4 complex
reactome:Pathway30,Highly calcium permeable postsynaptic nicotinic acetylcholine receptors
reactome:Pathway267,PP2A-mediated dephosphorylation of key metabolic factors
reactome:Pathway2093,TNF signaling
reactome:Pathway1013,Signaling by NOTCH1 PEST Domain Mutants in Cancer
reactome:Pathway1694,Defective F8 accelerates dissociation of the A2 domain
reactome:Pathway1431,Defective DPM3 causes CDG-1o
reactome:Pathway1764,PI-3K cascade:FGFR4
reactome:Pathway1701,Defects of platelet adhesion to exposed collagen
reactome:Pathway830,Synthesis of glycosylphosphatidylinositol (GPI)
reactome:Pathway188,Synthesis of BMP
reactome:Pathway2158,PKMTs methylate histone lysines
reactome:Pathway1411,Defective C1GALT1C1 causes TNPS
reactome:Pathway290,Interconversion of 2-oxoglutarate and 2-hydroxyglutarate
reactome:Pathway1440,Defective ADA disrupts (deoxy)adenosine deamination
reactome:Pathway136,Fatty acyl-CoA biosynthesis
reactome:Pathway1359,Defective MAOA causes BRUNS
reactome:Pathway1687,Defective factor VIII causes hemophilia A
reactome:Pathway1837,Signaling by ERBB4
reactome:Pathway415,Adaptive Immune System
reactome:Pathway407,Conjugation of salicylate with glycine
reactome:Pathway2040,RHOB GTPase cycle
reactome:Pathway2425,Localization of the PINCH-ILK-PARVIN complex to focal adhesions
reactome:Pathway100,Transport and synthesis of PAPS
reactome:Pathway1913,G alpha (s) signalling events
reactome:Pathway1,Neuronal System
reactome:Pathway2561,Epigenetic regulation of adipogenesis genes by MLL3 and MLL4 complexes
reactome:Pathway2330,Netrin-1 signaling
reactome:Pathway2259,Activation of BH3-only proteins
reactome:Pathway1278,Defective SLC9A9 causes autism 16 (AUTS16)
reactome:Pathway452,MyD88 cascade initiated on plasma membrane
reactome:Pathway2370,Regulation of gene expression in beta cells
reactome:Pathway1731,Phospholipase C-mediated cascade: FGFR1
reactome:Pathway1138,Alternative Lengthening of Telomeres (ALT)
reactome:Pathway63,Activation of G protein gated Potassium channels
reactome:Pathway1688,Defective F8 secretion
reactome:Pathway132,Regulation of lipid metabolism by PPARalpha
reactome:Pathway2337,Regulation of commissural axon pathfinding by SLIT and ROBO
reactome:Pathway1664,Retinoid cycle disease events
reactome:Pathway2419,Regulation of CDH11 function
reactome:Pathway2655,Cardiac conduction
reactome:Pathway2692,Alkylating DNA damage induced by chemotherapeutic drugs
reactome:Pathway2645,Sensory processing of sound by inner hair cells of the cochlea
reactome:Pathway2152,Scavenging by Class H Receptors
reactome:Pathway1152,Diseases of programmed cell death
reactome:Pathway1480,Prevention of phagosomal-lysosomal fusion
reactome:Pathway2610,ATF6 (ATF6-alpha) activates chaperone genes
reactome:Pathway1729,Downstream signaling of activated FGFR1
reactome:Pathway107,HS-GAG degradation
reactome:Pathway2740,Gap-filling DNA repair synthesis and ligation in TC-NER
reactome:Pathway1140,Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations
reactome:Pathway1289,MPS IIIB - Sanfilippo syndrome B
reactome:Pathway39,Long-term potentiation
reactome:Pathway2496,RUNX3 regulates YAP1-mediated transcription
reactome:Pathway1248,Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)
reactome:Pathway299,Nucleotide catabolism
reactome:Pathway1719,SHC1 events in EGFR signaling
reactome:Pathway1310,Pentose phosphate pathway disease
reactome:Pathway2316,Activation of HOX genes during differentiation
reactome:Pathway1060,Signaling downstream of RAS mutants
reactome:Pathway1257,"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)"
reactome:Pathway1810,PKB-mediated events
reactome:Pathway2188,Sodium/Proton exchangers
reactome:Pathway78,Synaptic adhesion-like molecules
reactome:Pathway2115,Erythropoietin activates STAT5
reactome:Pathway1605,Transcription of SARS-CoV-2 sgRNAs
reactome:Pathway1526,Synthesis and processing of ENV and VPU
reactome:Pathway1394,Defective ALG2 causes CDG-1i
reactome:Pathway1017,FBXW7 Mutants and NOTCH1 in Cancer
reactome:Pathway355,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se
reactome:Pathway2698,Resolution of AP sites via the multiple-nucleotide patch replacement pathway
reactome:Pathway2290,CASP8 activity is inhibited
reactome:Pathway1952,Signaling by NOTCH3
reactome:Pathway924,mRNA Editing
reactome:Pathway1509,HIV Transcription Initiation
reactome:Pathway1124,ceritinib-resistant ALK mutants
reactome:Pathway1956,Signaling by NOTCH4
reactome:Pathway403,Amino Acid conjugation
reactome:Pathway1398,Defective ALG9 causes CDG-1l
reactome:Pathway1046,Signaling by GSK3beta mutants
reactome:Pathway2041,RHOC GTPase cycle
reactome:Pathway1207,Defective ABCD1 causes ALD
reactome:Pathway1236,Defective SLC26A4 causes Pendred syndrome (PDS)
reactome:Pathway2726,Resolution of D-loop Structures through Holliday Junction Intermediates
reactome:Pathway57,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits
reactome:Pathway925,mRNA Editing: C to U Conversion
reactome:Pathway2626,Selective autophagy
reactome:Pathway1818,VEGF ligand-receptor interactions
reactome:Pathway642,Inactivation of APC/C via direct inhibition of the APC/C complex
reactome:Pathway664,Switching of origins to a post-replicative state
reactome:Pathway1634,Leishmania infection
reactome:Pathway2246,HDL clearance
reactome:Pathway1947,Activated NOTCH1 Transmits Signal to the Nucleus
reactome:Pathway1548,Fusion of the Influenza Virion to the Host Cell Endosome
reactome:Pathway1216,Defective HK1 causes hexokinase deficiency (HK deficiency)
reactome:Pathway1800,Activated NTRK3 signals through PLCG1
reactome:Pathway2254,Dimerization of procaspase-8
reactome:Pathway1938,G beta:gamma signalling through BTK
reactome:Pathway1844,SHC-related events triggered by IGF1R
reactome:Pathway2298,Z-decay: degradation of maternal mRNAs by zygotically expressed factors
reactome:Pathway1544,Vpu mediated degradation of CD4
reactome:Pathway1890,Relaxin receptors
reactome:Pathway1055,Oncogenic MAPK signaling
reactome:Pathway1454,Beta-ketothiolase deficiency
reactome:Pathway1681,Loss of MECP2 binding ability to 5hmC-DNA
reactome:Pathway1039,Deletions in the AMER1 gene destabilize the destruction complex
reactome:Pathway1661,Defective regulation of TLR7 by endogenous ligand
reactome:Pathway2428,Signal regulatory protein family interactions
reactome:Pathway257,Acetylcholine regulates insulin secretion
reactome:Pathway967,Signaling by Overexpressed Wild-Type EGFR in Cancer
reactome:Pathway2024,PI3K/AKT Signaling
reactome:Pathway1669,Defective visual phototransduction due to OPN1MW loss of function
reactome:Pathway1362,Defective TPMT causes TPMT deficiency
reactome:Pathway588,Interleukin-6 family signaling
reactome:Pathway2369,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells
reactome:Pathway2551,Positive epigenetic regulation of rRNA expression
reactome:Pathway1059,Signaling by RAS GAP mutants
reactome:Pathway327,NADPH regeneration
reactome:Pathway2295,Replacement of protamines by nucleosomes in the male pronucleus
reactome:Pathway1269,Defective SLC6A2 causes orthostatic intolerance (OI)
reactome:Pathway798,GTP hydrolysis and joining of the 60S ribosomal subunit
reactome:Pathway121,Synthesis of IPs in the nucleus
reactome:Pathway1263,Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)
reactome:Pathway1244,Defective SLC34A1 causes hypophosphatemic nephrolithiasis/osteoporosis 1 (NPHLOP1)
reactome:Pathway2177,Collagen degradation
reactome:Pathway2204,Zinc efflux and compartmentalization by the SLC30 family
reactome:Pathway145,Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)
reactome:Pathway1051,LGK974 inhibits PORCN
reactome:Pathway717,Regulation of APC/C activators between G1/S and early anaphase
reactome:Pathway1724,FGFR1 ligand binding and activation
reactome:Pathway141,Synthesis of 5-eicosatetraenoic acids
reactome:Pathway1894,Dopamine receptors
reactome:Pathway713,cell division
reactome:Pathway2136,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane
reactome:Pathway821,Gamma-carboxylation of protein precursors
reactome:Pathway1483,Manipulation of host energy metabolism
reactome:Pathway1164,Defective Mismatch Repair Associated With MLH1
reactome:Pathway310,Coenzyme A biosynthesis
reactome:Pathway1096,Sorafenib-resistant PDGFR mutants
reactome:Pathway2241,HDL remodeling
reactome:Pathway530,Fcgamma receptor (FCGR) dependent phagocytosis
reactome:Pathway198,Synthesis of PIPs at the late endosome membrane
reactome:Pathway1409,Defective GALNT3 causes HFTC
reactome:Pathway757,"Platelet activation, signaling and aggregation"
reactome:Pathway2639,The canonical retinoid cycle in rods (twilight vision)
reactome:Pathway1930,G alpha (z) signalling events
reactome:Pathway357,Glyoxylate metabolism and glycine degradation
reactome:Pathway1333,Metabolic disorders of biological oxidation enzymes
reactome:Pathway2031,Regulation of PTEN mRNA translation
reactome:Pathway745,Meiotic recombination
reactome:Pathway1075,Signaling by extracellular domain mutants of KIT
reactome:Pathway1888,Orexin and neuropeptides FF and QRFP bind to their respective receptors
reactome:Pathway1905,Lysosphingolipid and LPA receptors
reactome:Pathway749,Prostacyclin signalling through prostacyclin receptor
reactome:Pathway762,Thromboxane signalling through TP receptor
reactome:Pathway200,Glycerophospholipid catabolism
reactome:Pathway2307,Formation of paraxial mesoderm
reactome:Pathway2717,Sensing of DNA Double Strand Breaks
reactome:Pathway1815,Signaling by PDGF
reactome:Pathway229,Plasmalogen biosynthesis
reactome:Pathway1513,Formation of the HIV-1 Early Elongation Complex
reactome:Pathway2101,"Cell death signalling via NRAGE, NRIF and NADE"
reactome:Pathway1858,Drug-mediated inhibition of MET activation
reactome:Pathway2537,RNA Polymerase III Transcription Termination
reactome:Pathway368,Metabolism of amine-derived hormones
reactome:Pathway2719,Homology Directed Repair
reactome:Pathway722,APC/C:Cdc20 mediated degradation of mitotic proteins
reactome:Pathway1799,NTF3 activates NTRK3 signaling
reactome:Pathway353,Methylation of MeSeH for excretion
reactome:Pathway238,Biosynthesis of DHA-derived SPMs
reactome:Pathway314,Transport of RCbl within the body
reactome:Pathway51,Activation of Ca-permeable Kainate Receptor
reactome:Pathway1707,Digestion and absorption
reactome:Pathway101,Keratan sulfate/keratin metabolism
reactome:Pathway1467,Toxicity of botulinum toxin type F (botF)
reactome:Pathway345,Sulfur amino acid metabolism
reactome:Pathway60,HCN channels
reactome:Pathway602,Growth hormone receptor signaling
reactome:Pathway1918,G-protein mediated events
reactome:Pathway833,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein"
reactome:Pathway1794,Activated NTRK2 signals through FRS2 and FRS3
reactome:Pathway2240,LDL remodeling
reactome:Pathway2617,Cellular response to mitochondrial stress
reactome:Pathway2064,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3
reactome:Pathway64,Potassium transport channels
reactome:Pathway1306,SCN4
reactome:Pathway149,Linoleic acid (LA) metabolism
reactome:Pathway1288,MPS IIIA - Sanfilippo syndrome A
reactome:Pathway1026,TGFBR2 MSI Frameshift Mutants in Cancer
reactome:Pathway784,Factors involved in megakaryocyte development and platelet production
reactome:Pathway880,Ovarian tumor domain proteases
reactome:Pathway2473,RUNX1 regulates transcription of genes involved in differentiation of myeloid cells
reactome:Pathway1961,WNT ligand biogenesis and trafficking
reactome:Pathway980,Signaling by FGFR2 IIIa TM
reactome:Pathway2011,ERK1/ERK2 pathway
reactome:Pathway475,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation
reactome:Pathway2747,DNA Replication Pre-Initiation
reactome:Pathway2713,ALKBH3 mediated reversal of alkylation damage
reactome:Pathway2015,MAP2K and MAPK activation
reactome:Pathway1768,NGF processing
reactome:Pathway1979,WNT5A-dependent internalization of FZD4
reactome:Pathway91,Fructose catabolism
reactome:Pathway166,Triglyceride metabolism
reactome:Pathway1875,Signaling by TGFBR3
reactome:Pathway1115,gilteritinib-resistant FLT3 mutants
reactome:Pathway2324,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion
reactome:Pathway1405,Defective B4GALT1 causes CDG-2d
reactome:Pathway2684,"Base-Excision Repair, AP Site Formation"
reactome:Pathway332,Alanine metabolism
reactome:Pathway1074,Signaling by juxtamembrane domain KIT mutants
reactome:Pathway2123,Intra-Golgi traffic
reactome:Pathway289,Oleoyl-phe metabolism
reactome:Pathway1643,Anti-inflammatory response favouring Leishmania parasite infection
reactome:Pathway740,Processive synthesis on the C-strand of the telomere
reactome:Pathway2734,Formation of Incision Complex in GG-NER
reactome:Pathway56,Adenylate cyclase inhibitory pathway
reactome:Pathway2489,RUNX2 regulates genes involved in differentiation of myeloid cells
reactome:Pathway1381,"Defective CHST14 causes EDS, musculocontractural type"
reactome:Pathway2515,Regulation of NPAS4 gene expression
reactome:Pathway43,CREB1 phosphorylation through the activation of Adenylate Cyclase
reactome:Pathway792,Cap-dependent Translation Initiation
reactome:Pathway605,TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway
reactome:Pathway1974,Negative regulation of TCF-dependent signaling by WNT ligand antagonists
reactome:Pathway1965,TCF dependent signaling in response to WNT
reactome:Pathway117,Lewis blood group biosynthesis
reactome:Pathway1566,Assembly of Viral Components at the Budding Site
reactome:Pathway676,Mitotic G2-G2/M phases
reactome:Pathway820,"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins"
reactome:Pathway1656,TICAM1 deficiency - HSE
reactome:Pathway2139,Regulation of gap junction activity
reactome:Pathway1387,Defective HEXB causes GM2G2
reactome:Pathway2125,COPI-dependent Golgi-to-ER retrograde traffic
reactome:Pathway2704,Translesion synthesis by REV1
reactome:Pathway491,Toll Like Receptor 2 (TLR2) Cascade
reactome:Pathway2731,Nucleotide Excision Repair
reactome:Pathway2272,Regulation of the apoptosome activity
reactome:Pathway2497,RUNX3 regulates RUNX1-mediated transcription
reactome:Pathway658,Inhibition of replication initiation of damaged DNA by RB1/E2F1
reactome:Pathway1343,Defective CYP24A1 causes HCAI
reactome:Pathway918,Transport of the SLBP independent Mature mRNA
reactome:Pathway2235,VLDL assembly
reactome:Pathway885,E3 ubiquitin ligases ubiquitinate target proteins
reactome:Pathway2406,Ribavirin ADME
reactome:Pathway1904,Hydroxycarboxylic acid-binding receptors
reactome:Pathway1921,phospho-PLA2 pathway
reactome:Pathway1647,LTC4-CYSLTR mediated IL4 production
reactome:Pathway2232,Lipoprotein metabolism
reactome:Pathway251,Biosynthesis of DPAn-3-derived maresins
reactome:Pathway1574,HCMV Late Events
reactome:Pathway273,Aerobic respiration and respiratory electron transport
reactome:Pathway1769,Signaling by NTRK1 (TRKA)
reactome:Pathway495,Complement cascade
reactome:Pathway2277,Apoptotic execution phase
reactome:Pathway2309,Formation of axial mesoderm
reactome:Pathway2573,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
reactome:Pathway1970,Deactivation of the beta-catenin transactivating complex
reactome:Pathway2124,Golgi-to-ER retrograde transport
reactome:Pathway1298,GSD 0 (muscle)
reactome:Pathway1908,Class B/2 (Secretin family receptors)
reactome:Pathway1169,Diseases of Base Excision Repair
reactome:Pathway467,TICAM1-dependent activation of IRF3/IRF7
reactome:Pathway448,Innate Immune System
reactome:Pathway1754,SHC-mediated cascade:FGFR3
reactome:Pathway1900,Leukotriene receptors
reactome:Pathway1384,"Defective EXT1 causes exostoses 1, TRPS2 and CHDS"
reactome:Pathway580,Interleukin-2 signaling
reactome:Pathway2384,Regulation of MITF-M-dependent genes involved in apoptosis
reactome:Pathway418,Translocation of ZAP-70 to Immunological synapse
reactome:Pathway2582,Oxidative Stress Induced Senescence
reactome:Pathway1129,lorlatinib-resistant ALK mutants
reactome:Pathway1005,Constitutive Signaling by Aberrant PI3K in Cancer
reactome:Pathway1229,Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)
reactome:Pathway1504,Integration of viral DNA into host genomic DNA
reactome:Pathway731,Chromosome Maintenance
reactome:Pathway84,Glucose metabolism
reactome:Pathway484,MyD88-independent TLR4 cascade
reactome:Pathway1885,Chemokine receptors bind chemokines
reactome:Pathway1871,Downregulation of SMAD2/3:SMAD4 transcriptional activity
reactome:Pathway1529,Interactions of Vpr with host cellular proteins
reactome:Pathway533,Role of phospholipids in phagocytosis
reactome:Pathway1702,Defective VWF binding to collagen type I
reactome:Pathway1597,SARS-CoV-2 Infection
reactome:Pathway615,Protein localization
reactome:Pathway2182,ABC transporters in lipid homeostasis
reactome:Pathway295,Interconversion of nucleotide di- and triphosphates
reactome:Pathway649,Cyclin D associated events in G1
reactome:Pathway2543,Small interfering RNA (siRNA) biogenesis
reactome:Pathway1221,"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)"
reactome:Pathway233,Biosynthesis of specialized proresolving mediators (SPMs)
reactome:Pathway175,Hydrolysis of LPE
reactome:Pathway2423,SDK interactions
reactome:Pathway976,Signaling by FGFR2 in disease
reactome:Pathway1557,NS1 Mediated Effects on Host Pathways
reactome:Pathway1522,Rev-mediated nuclear export of HIV RNA
reactome:Pathway26,Presynaptic nicotinic acetylcholine receptors
reactome:Pathway783,Basigin interactions
reactome:Pathway640,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal
reactome:Pathway476,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation
reactome:Pathway573,Interleukin-1 signaling
reactome:Pathway685,Loss of proteins required for interphase microtubule organization from the centrosome
reactome:Pathway305,Metabolism of water-soluble vitamins and cofactors
reactome:Pathway416,TCR signaling
reactome:Pathway2737,Transcription-Coupled Nucleotide Excision Repair (TC-NER)
reactome:Pathway2063,RHO GTPases activate PKNs
reactome:Pathway2356,RET signaling
reactome:Pathway1328,Defective TCN2 causes TCN2 deficiency
reactome:Pathway6,Neurotransmitter release cycle
reactome:Pathway2560,Epigenetic regulation of gene expression by MLL3 and MLL4 complexes
reactome:Pathway1239,Defective SLC2A1 causes GLUT1 deficiency syndrome 1 (GLUT1DS1)
reactome:Pathway521,IRF3 mediated activation of type 1 IFN
reactome:Pathway1836,Drug-mediated inhibition of ERBB2 signaling
reactome:Pathway2162,Collagen biosynthesis and modifying enzymes
reactome:Pathway1446,Loss-of-function mutations in BCKDHA or BCKDHB cause MSUD
reactome:Pathway2700,PCNA-Dependent Long Patch Base Excision Repair
reactome:Pathway2327,Other semaphorin interactions
reactome:Pathway684,Recruitment of mitotic centrosome proteins and complexes
reactome:Pathway5,Presynaptic depolarization and calcium channel opening
reactome:Pathway1144,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects
reactome:Pathway951,tRNA processing in the nucleus
reactome:Pathway363,Metabolism of polyamines
reactome:Pathway2355,EPH-ephrin mediated repulsion of cells
reactome:Pathway2263,Activation of BIM and translocation to mitochondria
reactome:Pathway1717,EGFR interacts with phospholipase C-gamma
reactome:Pathway82,Glycogen synthesis
reactome:Pathway1337,Defective CYP11B1 causes AH4
reactome:Pathway222,Glucocorticoid biosynthesis
reactome:Pathway550,Alpha-defensins
reactome:Pathway1231,Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)
reactome:Pathway323,Retinoid metabolism and transport
reactome:Pathway2088,Inhibition of TSC complex formation by PKB
reactome:Pathway2451,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest
reactome:Pathway594,Interleukin-12 signaling
reactome:Pathway2360,Myogenesis
reactome:Pathway1853,MET interacts with TNS proteins
reactome:Pathway1484,Suppression of apoptosis
reactome:Pathway915,Transport of Mature mRNA derived from an Intron-Containing Transcript
reactome:Pathway497,Creation of C4 and C2 activators
reactome:Pathway799,Recycling of eIF2:GDP
reactome:Pathway1957,NOTCH4 Activation and Transmission of Signal to the Nucleus
reactome:Pathway1131,Diseases of mitotic cell cycle
reactome:Pathway457,MAP kinase activation
reactome:Pathway875,SUMOylation of immune response proteins
reactome:Pathway879,Ub-specific processing proteases
reactome:Pathway1329,Defective CD320 causes MMATC
reactome:Pathway1325,Defective MTR causes HMAG
reactome:Pathway242,Biosynthesis of maresins
reactome:Pathway263,PKA activation in glucagon signalling
reactome:Pathway2509,Regulation of localization of FOXO transcription factors
reactome:Pathway572,Interleukin-1 processing
reactome:Pathway2219,Transport of glycerol from adipocytes to the liver by Aquaporins
reactome:Pathway7,Norepinephrine Neurotransmitter Release Cycle
reactome:Pathway560,Interferon alpha/beta signaling
reactome:Pathway1838,SHC1 events in ERBB4 signaling
reactome:Pathway1773,Signalling to ERKs
reactome:Pathway81,Glycogen metabolism
reactome:Pathway1266,Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria
reactome:Pathway172,Acyl chain remodeling of DAG and TAG
reactome:Pathway25,Acetylcholine binding and downstream events
reactome:Pathway1786,NGF-stimulated transcription
reactome:Pathway2667,Interaction With Cumulus Cells And The Zona Pellucida
reactome:Pathway442,Endosomal/Vacuolar pathway
reactome:Pathway1222,Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)
reactome:Pathway1315,Intestinal saccharidase deficiencies
reactome:Pathway492,Toll Like Receptor TLR1:TLR2 Cascade
reactome:Pathway567,OAS antiviral response
reactome:Pathway791,Eukaryotic Translation Initiation
reactome:Pathway1048,Signaling by LRP5 mutants
reactome:Pathway1193,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function
reactome:Pathway1835,Downregulation of ERBB2:ERBB3 signaling
reactome:Pathway2110,p75NTR regulates axonogenesis
reactome:Pathway1177,Defective Base Excision Repair Associated with NEIL3
reactome:Pathway2359,LGI-ADAM interactions
reactome:Pathway1153,Defective RIPK1-mediated regulated necrosis
reactome:Pathway1987,GLI3 is processed to GLI3R by the proteasome
reactome:Pathway2084,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1
reactome:Pathway104,Heparan sulfate/heparin (HS-GAG) metabolism
reactome:Pathway1356,Defective GGT1 in aflatoxin detoxification causes GLUTH
reactome:Pathway1167,Defective Mismatch Repair Associated With MSH6
reactome:Pathway425,ICOS co-stimulation
reactome:Pathway1476,Modulation by Mtb of host immune system
reactome:Pathway220,Metabolism of steroid hormones
reactome:Pathway1983,Signaling by Hedgehog
reactome:Pathway2082,"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases"
reactome:Pathway1732,SHC-mediated cascade:FGFR1
reactome:Pathway1432,"Defective GNE causes sialuria, NK and IBM2"
reactome:Pathway2416,Regulation of CDH11 Expression and Function
reactome:Pathway1990,Hedgehog 'on' state
reactome:Pathway1014,Constitutive Signaling by NOTCH1 PEST Domain Mutants
reactome:Pathway1996,Signaling by Retinoic Acid
reactome:Pathway984,Signaling by activated point mutants of FGFR3
reactome:Pathway686,Loss of Nlp from mitotic centrosomes
reactome:Pathway2562,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis
reactome:Pathway511,The AIM2 inflammasome
reactome:Pathway1618,SARS-CoV-2 targets PDZ proteins in cell-cell junction
reactome:Pathway2694,Displacement of DNA glycosylase by APEX1
reactome:Pathway662,Synthesis of DNA
reactome:Pathway970,Signaling by FGFR1 in disease
reactome:Pathway1174,Defective Base Excision Repair Associated with NTHL1
reactome:Pathway736,Telomere Extension By Telomerase
reactome:Pathway1500,Reverse Transcription of HIV RNA
reactome:Pathway1783,Signalling to ERK5
reactome:Pathway921,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs
reactome:Pathway509,The NLRP1 inflammasome
reactome:Pathway908,mRNA Capping
reactome:Pathway291,Nucleotide metabolism
reactome:Pathway2173,Formation of the dystrophin-glycoprotein complex (DGC)
reactome:Pathway1759,betaKlotho-mediated ligand binding
reactome:Pathway1203,Defective ABCA3 causes SMDP3
reactome:Pathway2329,NCAM1 interactions
reactome:Pathway2622,"Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells"
reactome:Pathway627,Autodegradation of the E3 ubiquitin ligase COP1
reactome:Pathway207,Sphingolipid catabolism
reactome:Pathway2225,TRP channels
reactome:Pathway929,C6 deamination of adenosine
reactome:Pathway125,IPs transport between cytosol and ER lumen
reactome:Pathway1420,Defective GALE causes EDG
reactome:Pathway48,Activation of kainate receptors upon glutamate binding
reactome:Pathway2578,Attenuation phase
reactome:Pathway1700,Defective factor IX causes thrombophilia
reactome:Pathway2569,MTF1 activates gene expression
reactome:Pathway518,Negative regulators of RIG-I/MDA5 signaling
reactome:Pathway2534,RNA Polymerase III Transcription Initiation From Type 2 Promoter
reactome:Pathway770,Effects of PIP2 hydrolysis
reactome:Pathway426,Co-inhibition by CTLA4
reactome:Pathway1450,Branched-chain ketoacid dehydrogenase kinase deficiency
reactome:Pathway2474,RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function
reactome:Pathway665,Orc1 removal from chromatin
reactome:Pathway2025,AKT phosphorylates targets in the cytosol
reactome:Pathway1988,Degradation of GLI2 by the proteasome
reactome:Pathway1807,IRS-mediated signalling
reactome:Pathway2521,RNA Polymerase II Transcription Initiation And Promoter Clearance
reactome:Pathway1490,Mtb iron assimilation by chelation
reactome:Pathway2668,Acrosome Reaction and Sperm:Oocyte Membrane Binding
reactome:Pathway384,Fatty acids
reactome:Pathway1606,Late SARS-CoV-2 Infection Events
reactome:Pathway34,Activation of AMPA receptors
reactome:Pathway1468,Toxicity of botulinum toxin type G (botG)
reactome:Pathway1840,Nuclear signaling by ERBB4
reactome:Pathway515,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10
reactome:Pathway2346,Interaction between L1 and Ankyrins
reactome:Pathway318,Nicotinamide salvaging
reactome:Pathway2565,Regulation of endogenous retroelements by KRAB-ZFP proteins
reactome:Pathway623,G1/S DNA Damage Checkpoints
reactome:Pathway123,Synthesis of pyrophosphates in the cytosol
reactome:Pathway326,Ubiquinol biosynthesis
reactome:Pathway2556,NoRC negatively regulates rRNA expression
reactome:Pathway1102,FLT3 mutants bind TKIs
reactome:Pathway1338,Defective CYP11B2 causes CMO-1 deficiency
reactome:Pathway1058,Signaling by RAS GTPase mutants
reactome:Pathway2113,Regulated proteolysis of p75NTR
reactome:Pathway489,TRIF-mediated programmed cell death
reactome:Pathway2512,FOXO-mediated transcription of cell cycle genes
reactome:Pathway852,Reactions specific to the hybrid N-glycan synthesis pathway
reactome:Pathway2092,FasL/ CD95L signaling
reactome:Pathway2005,LXRs regulate gene expression to limit cholesterol uptake
reactome:Pathway1383,Defective CHST6 causes MCDC1
reactome:Pathway2303,Primitive streak formation
reactome:Pathway598,Interleukin-35 Signalling
reactome:Pathway1121,ALK mutants bind TKIs
reactome:Pathway2154,Chromatin modifying enzymes
reactome:Pathway169,Phospholipid metabolism
reactome:Pathway2461,Regulation of TP53 Activity through Acetylation
reactome:Pathway2007,LXRs regulate gene expression linked to triglyceride lipolysis in adipose
reactome:Pathway2097,Regulation of TNFR1 signaling
reactome:Pathway2060,RHO GTPase Effectors
reactome:Pathway882,Metalloprotease DUBs
reactome:Pathway1150,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6
reactome:Pathway142,Synthesis of 15-eicosatetraenoic acid derivatives
reactome:Pathway2362,Kidney development
reactome:Pathway1798,Signaling by NTRK3 (TRKC)
reactome:Pathway1410,Defective GALNT12 causes CRCS1
reactome:Pathway76,Neurexins and neuroligins
reactome:Pathway374,Heme biosynthesis
reactome:Pathway690,Interaction between PHLDA1 and AURKA
reactome:Pathway876,SUMOylation of nuclear envelope proteins
reactome:Pathway707,Mitotic Anaphase
reactome:Pathway1713,Intestinal hexose absorption
reactome:Pathway653,SCF(Skp2)-mediated degradation of p27/p21
reactome:Pathway850,"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2"
